cplex,glpk,gurobi
0.06176638603210449,0.06960415840148926,0.3303084373474121
0.05927276611328125,0.0693063735961914,0.3216996192932129
0.07254695892333984,0.06989383697509766,0.3218834400177002
0.07033038139343262,0.08328866958618164,0.33057236671447754
0.06043291091918945,0.07989382743835449,0.33284926414489746
0.07169938087463379,0.06778764724731445,0.3282661437988281
0.0718691349029541,0.06433463096618652,0.32363319396972656
0.058908700942993164,0.06557464599609375,0.33104991912841797
0.06358146667480469,0.07046627998352051,0.33533310890197754
0.06407594680786133,0.07459712028503418,0.323683500289917
0.05991005897521973,0.07141995429992676,0.3237497806549072
0.0696406364440918,0.06681060791015625,0.32845020294189453
0.061553001403808594,0.06227850914001465,0.32767510414123535
0.06458830833435059,0.0748744010925293,0.32334136962890625
0.07314229011535645,0.06995010375976562,0.3311316967010498
0.0635218620300293,0.06200456619262695,0.33327770233154297
0.0641026496887207,0.06808853149414062,0.3289318084716797
0.06548285484313965,0.0607304573059082,0.3331725597381592
0.07883286476135254,0.06444907188415527,0.33240246772766113
0.06679105758666992,0.07443380355834961,0.3300454616546631
0.07430005073547363,0.059303998947143555,0.332643985748291
0.06521463394165039,0.06965804100036621,0.32402682304382324
0.06390142440795898,0.06167721748352051,0.32166147232055664
0.0692441463470459,0.06998467445373535,0.33641767501831055
0.07164788246154785,0.0625309944152832,0.3332500457763672
0.06918072700500488,0.06128692626953125,0.3274354934692383
0.06383943557739258,0.06209826469421387,0.3227841854095459
0.06987500190734863,0.05995893478393555,0.3265550136566162
0.05991768836975098,0.07445192337036133,0.3333916664123535
0.060304880142211914,0.05194234848022461,0.32534098625183105
0.06829357147216797,0.054465293884277344,0.32723212242126465
0.06831026077270508,0.08045411109924316,0.32979559898376465
0.06599998474121094,0.0602259635925293,0.3231172561645508
0.06124258041381836,0.0630948543548584,0.3265972137451172
0.06437230110168457,0.06709909439086914,0.33132410049438477
0.06680560111999512,0.07024192810058594,0.3300755023956299
0.06452369689941406,0.06224822998046875,0.3358919620513916
0.072845458984375,0.06118488311767578,0.32767176628112793
0.060433387756347656,0.0688943862915039,0.3241868019104004
0.06227397918701172,0.06618952751159668,0.3232409954071045
0.06290078163146973,0.07216668128967285,0.32580089569091797
0.0638427734375,0.08631777763366699,0.332944393157959
0.0636591911315918,0.06609153747558594,0.32320189476013184
0.0800025463104248,0.09599661827087402,0.32977914810180664
0.07380390167236328,0.059476613998413086,0.33318662643432617
0.06768226623535156,0.05988574028015137,0.32591795921325684
0.07329726219177246,0.06509995460510254,0.3338656425476074
0.06925344467163086,0.05776381492614746,0.3313734531402588
0.07386636734008789,0.059530019760131836,0.326641321182251
0.06238365173339844,0.06804418563842773,0.32518839836120605
